ID,Method,b,confMin,confMax,stdErr,site_id,year_month,mat_site,sdat_site
113,MLE,-1.4665568755631464,-1.4718968755631463,-1.4612568755631463,0.00271428571428571,MCRA,2017_9,6.753631075781809,0.7031396224509
114,MLE,-1.5371289174928415,-1.5390189174928417,-1.5352389174928418,9.642857142856874e-4,MCRA,2018_9,6.753631075781809,0.7031396224509
115,MLE,-1.2807955982910457,-1.2857455982910457,-1.2758855982910458,0.0025153061224489747,MCRA,2019_9,6.753631075781809,0.7031396224509
116,MLE,-1.1758639122799426,-1.1811239122799426,-1.1706339122799425,0.0026760204081632934,OKSR,2019_5,1.0410644940643425,0.8359592949846363
117,MLE,-1.2636025053643603,-1.2698925053643602,-1.2573625053643602,0.0031964285714285536,OKSR,2019_7,1.0410644940643425,0.8359592949846363
118,MLE,-1.3295352084516123,-1.3354152084516122,-1.3237052084516123,0.002987244897959155,OKSR,2019_8,1.0410644940643425,0.8359592949846363
120,MLE,-1.3481226927354275,-1.3526626927354275,-1.3436126927354275,0.002308673469387756,POSE,2016_7,11.976232403972531,0.5419250634472738
119,MLE,-1.2612550628928223,-1.2650150628928223,-1.2575150628928222,0.001913265306122465,POSE,2016_10,11.976232403972531,0.5419250634472738
122,MLE,-1.271304270996902,-1.2739242709969019,-1.268694270996902,0.0013341836734693485,POSE,2017_3,11.976232403972531,0.5419250634472738
123,MLE,-1.310783317071685,-1.313353317071685,-1.3082233170716848,0.0013086734693877754,POSE,2017_7,11.976232403972531,0.5419250634472738
121,MLE,-1.3308689112003238,-1.3323089112003237,-1.3294289112003237,7.346938775510189e-4,POSE,2017_10,11.976232403972531,0.5419250634472738
125,MLE,-1.346963543017483,-1.349813543017483,-1.3441235430174827,0.0014515306122449478,POSE,2018_3,11.976232403972531,0.5419250634472738
126,MLE,-1.306142117658278,-1.308652117658278,-1.3036421176582778,0.0012780612244898421,POSE,2018_7,11.976232403972531,0.5419250634472738
124,MLE,-1.315518625505559,-1.317278625505559,-1.3137586255055589,8.979591836735178e-4,POSE,2018_11,11.976232403972531,0.5419250634472738
128,MLE,-1.267885013629647,-1.2701150136296468,-1.265665013629647,0.001135204081632613,POSE,2019_3,11.976232403972531,0.5419250634472738
129,MLE,-1.3080376685503066,-1.3113976685503066,-1.3046976685503067,0.0017091836734693694,POSE,2019_7,11.976232403972531,0.5419250634472738
127,MLE,-1.3731821494447207,-1.3768521494447206,-1.3695321494447206,0.0018673469387755085,POSE,2019_11,11.976232403972531,0.5419250634472738
130,MLE,-1.3894639117232623,-1.3931139117232623,-1.3858339117232623,0.0018571428571428452,POSE,2020_11,11.976232403972531,0.5419250634472738
131,MLE,-1.294813721638697,-1.297663721638697,-1.291983721638697,0.0014489795918367677,POSE,2021_3,11.976232403972531,0.5419250634472738
133,MLE,-1.2551698431208267,-1.2559998431208266,-1.2543398431208268,4.234693877550441e-4,PRIN,2017_2,16.911056566386115,0.7452355896059069
134,MLE,-1.3468203741542963,-1.3478303741542963,-1.3458103741542962,5.153061224490135e-4,PRIN,2017_7,16.911056566386115,0.7452355896059069
132,MLE,-1.3111196015819162,-1.3122096015819162,-1.3100296015819162,5.561224489796099e-4,PRIN,2017_10,16.911056566386115,0.7452355896059069
136,MLE,-1.25434931779556,-1.25566931779556,-1.25302931779556,6.734693877550958e-4,PRIN,2018_2,16.911056566386115,0.7452355896059069
135,MLE,-1.4175611175099196,-1.4211511175099196,-1.4139911175099196,0.0018265306122449121,PRIN,2018_10,16.911056566386115,0.7452355896059069
138,MLE,-1.34551539138622,-1.3468353913862199,-1.34420539138622,6.709183673469159e-4,PRIN,2019_2,16.911056566386115,0.7452355896059069
139,MLE,-1.3263120254900915,-1.3275220254900915,-1.3251020254900916,6.173469387754763e-4,PRIN,2019_7,16.911056566386115,0.7452355896059069
137,MLE,-1.3882072657327436,-1.3896472657327434,-1.3867672657327437,7.346938775509621e-4,PRIN,2019_10,16.911056566386115,0.7452355896059069
141,MLE,-1.2078709164526753,-1.2096209164526752,-1.2061209164526754,8.928571428571012e-4,PRIN,2020_2,16.911056566386115,0.7452355896059069
140,MLE,-1.3151809877941447,-1.3164709877941447,-1.3138909877941447,6.581632653061293e-4,PRIN,2020_11,16.911056566386115,0.7452355896059069
142,MLE,-1.1593899600275395,-1.1609499600275395,-1.1578299600275395,7.959183673469418e-4,REDB,2016_10,5.6865723322103525,0.6944427773817979
144,MLE,-1.2651700467666953,-1.2677500467666953,-1.2626000467666953,0.0013137755102040787,REDB,2017_3,5.6865723322103525,0.6944427773817979
145,MLE,-1.3845977775569538,-1.3871377775569538,-1.3820677775569536,0.0012933673469388085,REDB,2017_7,5.6865723322103525,0.6944427773817979
143,MLE,-1.3241764856600864,-1.3255064856600862,-1.3228464856600863,6.785714285713991e-4,REDB,2017_10,5.6865723322103525,0.6944427773817979
