sitio_area_ID,subsample_ID,Lat,Long
BLDE_2018-09-05,NA,44.95011,-110.58715
BLDE_2019-05-02,NA,44.95011,-110.58715
BLDE_2019-05-02,NA,44.95011,-110.58715
BLDE_2020-07-26,NA,44.95011,-110.58715
BLDE_2021-06-22,NA,44.95011,-110.58715
BLDE_2021-06-22,NA,44.95011,-110.58715
BLDE_2021-09-07,NA,44.95011,-110.58715
BLUE_2019-03-11,NA,34.44422,-96.6242
BLUE_2019-07-09,NA,34.44422,-96.6242
BLUE_2021-04-01,NA,34.44422,-96.6242
BLUE_2021-07-01,NA,34.44422,-96.6242
BLUE_2021-10-14,NA,34.44422,-96.6242
COMO_2017-08-03,NA,40.03496,-105.54487
COMO_2019-08-07,NA,40.03496,-105.54487
COMO_2021-08-04,NA,40.03496,-105.54487
CUPE_2016-01-29,NA,18.11352,-66.98676
CUPE_2018-06-19,NA,18.11352,-66.98676
CUPE_2019-11-25,NA,18.11352,-66.98676
CUPE_2020-02-13,NA,18.11352,-66.98676
CUPE_2020-11-23,NA,18.11352,-66.98676
CUPE_2021-11-22,NA,18.11352,-66.98676
GUIL_2017-11-10,NA,18.1741,-66.79851
GUIL_2019-11-11,NA,18.1741,-66.79851
GUIL_2020-02-26,NA,18.1741,-66.79851
GUIL_2020-11-18,NA,18.1741,-66.79851
HOPB_2018-10-03,NA,42.47179,-72.32963
LECO_2017-03-22,NA,35.69043,-83.50379
LEWI_2019-03-19,NA,39.09564,-77.98322
MCDI_2019-10-04,NA,38.94428,-96.44197
MCRA_2017-08-01,NA,44.2596,-122.16555
MCRA_2019-07-31,NA,44.2596,-122.16555
MCRA_2019-09-25,NA,44.2596,-122.16555
MCRA_2020-08-03,NA,44.2596,-122.16555
OKSR_2017-07-19,NA,68.66975,-149.14302
OKSR_2021-07-02,NA,68.66975,-149.14302
POSE_2018-11-05,NA,38.89332,-78.14678
POSE_2019-03-26,NA,38.89332,-78.14678
PRIN_2019-02-19,NA,33.37859,-97.78226
REDB_2019-03-28,NA,40.78374,-111.79765
REDB_2019-07-08,NA,40.78374,-111.79765
REDB_2019-10-03,NA,40.78374,-111.79765
REDB_2021-07-19,NA,40.78374,-111.79765
SYCA_2020-01-28,NA,33.74906,-111.5069
TECR_2019-07-30,NA,36.95528,-119.02699
WLOU_2018-09-11,NA,39.89137,-105.9154
CARI_2016-08-23,NA,65.15306,-147.50246
CARI_2020-09-09,NA,65.15306,-147.50246
CARI_2020-09-09,NA,65.15306,-147.50246
GUIL_2018-11-13,NA,18.1741,-66.79851
LECO_2016-10-10,NA,35.69043,-83.50379
LECO_2019-10-14,NA,35.69043,-83.50379
MART_2019-07-17,NA,45.79125,-121.93196
OKSR_2020-07-23,NA,68.66975,-149.14302
REDB_2021-10-20,NA,40.78374,-111.79765
WLOU_2019-07-23,NA,39.89137,-105.9154
ARIK_2018-03-20,NA,39.75825,-102.4471
ARIK_2021-03-30,NA,39.75825,-102.4471
BIGC_2021-04-13,NA,37.058,-119.256
BLDE_2019-07-22,NA,44.95011,-110.58715
BLDE_2019-09-04,NA,44.95011,-110.58715
BLDE_2020-08-30,NA,44.95011,-110.58715
BLDE_2021-07-26,NA,44.95011,-110.58715
BLDE_2021-09-07,NA,44.95011,-110.58715
BLUE_2018-11-06,NA,34.44422,-96.6242
COMO_2016-09-06,NA,40.03496,-105.54487
COMO_2018-06-05,NA,40.03496,-105.54487
COMO_2018-08-07,NA,40.03496,-105.54487
COMO_2018-08-29,NA,40.03496,-105.54487
COMO_2018-08-29,NA,40.03496,-105.54487
COMO_2019-08-07,NA,40.03496,-105.54487
COMO_2019-08-26,NA,40.03496,-105.54487
COMO_2020-08-03,NA,40.03496,-105.54487
COMO_2020-08-31,NA,40.03496,-105.54487
COMO_2021-08-30,NA,40.03496,-105.54487
GUIL_2016-06-27,NA,18.1741,-66.79851
HOPB_2018-04-11,NA,42.47179,-72.32963
HOPB_2018-10-03,NA,42.47179,-72.32963
HOPB_2019-07-09,NA,42.47179,-72.32963
HOPB_2021-10-11,NA,42.47179,-72.32963
KING_2016-03-31,NA,39.10506,-96.60336
LECO_2017-07-25,NA,35.69043,-83.50379
LECO_2017-10-27,NA,35.69043,-83.50379
LECO_2016-03-23,NA,35.69043,-83.50379
LEWI_2021-07-27,NA,39.09564,-77.98322
MART_2018-04-20,NA,45.79125,-121.93196
MART_2018-07-16,NA,45.79125,-121.93196
MART_2018-07-16,NA,45.79125,-121.93196
MART_2018-10-09,NA,45.79125,-121.93196
MART_2019-09-30,NA,45.79125,-121.93196
MART_2020-07-13,NA,45.79125,-121.93196
MART_2020-09-21,NA,45.79125,-121.93196
MART_2021-04-19,NA,45.79125,-121.93196
MAYF_2016-06-29,NA,32.95966,-87.40813
MAYF_2018-03-26,NA,32.95966,-87.40813
MAYF_2018-07-26,NA,32.95966,-87.40813
MAYF_2019-03-11,NA,32.95966,-87.40813
MAYF_2019-11-14,NA,32.95966,-87.40813
MAYF_2020-07-13,NA,32.95966,-87.40813
MAYF_2020-11-17,NA,32.95966,-87.40813
MAYF_2021-07-21,NA,32.95966,-87.40813
MCDI_2017-07-07,NA,38.94428,-96.44197
MCDI_2018-03-27,NA,38.94428,-96.44197
MCDI_2020-07-21,NA,38.94428,-96.44197
OKSR_2017-08-07,NA,68.66975,-149.14302
POSE_2016-03-23,NA,38.89332,-78.14678
POSE_2016-10-31,NA,38.89332,-78.14678
POSE_2018-03-16,NA,38.89332,-78.14678
POSE_2018-07-16,NA,38.89332,-78.14678
POSE_2019-07-15,NA,38.89332,-78.14678
POSE_2019-11-04,NA,38.89332,-78.14678
POSE_2021-07-20,NA,38.89332,-78.14678
POSE_2021-10-18,NA,38.89332,-78.14678
REDB_2017-10-04,NA,40.78374,-111.79765
WLOU_2017-05-30,NA,39.89137,-105.9154
WLOU_2017-07-10,NA,39.89137,-105.9154
BLUE_2018-03-12,NA,34.44422,-96.6242
CUPE_2021-06-28,NA,18.11352,-66.98676
GUIL_2016-06-27,NA,18.1741,-66.79851
